Date (YYYYMMDD);Hour;Inflow (m^3/s)
20040123;7;1.877951264
20040123;8;1.875945568
20040123;9;1.873935103
20040123;10;1.871920466
20040123;11;1.869902492
20040123;12;1.867881656
20040123;13;1.865858674
20040123;14;1.863834143
20040123;15;1.861808777
20040123;16;1.85978353
20040123;17;1.85775888
20040123;18;1.85573566
20040123;19;1.853715062
20040123;20;1.851697922
20040123;21;1.849685311
20040123;22;1.847677708
20040123;23;1.845675349
20040123;24;1.843679309
20040124;1;1.841690183
20040124;2;1.839707971
20040124;3;1.837732553
20040124;4;1.835764766
20040124;5;1.833805203
20040124;6;1.831853628
20040124;7;1.829909921
20040124;8;1.827973843
20040124;9;1.826045394
20040124;10;1.824124813
20040124;11;1.822212458
20040124;12;1.820308566
20040124;13;1.818413258
20040124;14;1.816526771
20040124;15;1.814649463
20040124;16;1.812781572
20040124;17;1.8109231
20040124;18;1.809074044
20040124;19;1.807234526
20040124;20;1.805404305
20040124;21;1.803582788
20040124;22;1.801769376
20040124;23;1.79996407
20040124;24;1.798167825
20040125;1;1.796470761
20040125;2;1.798263788
20040125;3;1.811727405
20040125;4;1.823934793
20040125;5;1.868157506
20040125;6;2.100880623
20040125;7;2.237329721
20040125;8;1.964550853
20040125;9;2.061814547
20040125;10;2.208796501
20040125;11;2.270226479
20040125;12;2.251797199
20040125;13;2.414211512
20040125;14;2.109660387
20040125;15;2.027447701
20040125;16;2.015094042
20040125;17;1.986677766
20040125;18;2.009801865
20040125;19;2.103180408
20040125;20;1.942563534
20040125;21;2.035920382
20040125;22;1.971715569
20040125;23;1.980855465
20040125;24;1.859917641
20040126;1;1.884386301
20040126;2;1.891565442
20040126;3;1.826855659
20040126;4;1.802084565
20040126;5;1.791627884
20040126;6;1.782936573
20040126;7;1.775635839
20040126;8;1.769448042
20040126;9;1.764157772
20040126;10;1.759593487
20040126;11;1.755619168
20040126;12;1.752131104
20040126;13;1.749041557
20040126;14;1.746280074
20040126;15;1.743789077
20040126;16;1.747984767
20040126;17;2.01841855
20040126;18;3.143636465
20040126;19;3.797894001
20040126;20;3.26663065
20040126;21;6.892372131
20040126;22;9.398884773
20040126;23;6.699299812
20040126;24;9.417203903
20040127;1;12.84495449
20040127;2;12.1861124
20040127;3;13.74359798
20040127;4;17.09050751
20040127;5;16.0079422
20040127;6;13.72919559
20040127;7;15.42447376
20040127;8;15.35749245
20040127;9;15.7660265
20040127;10;15.7117281
20040127;11;14.66040039
20040127;12;16.14429092
20040127;13;13.25086117
20040127;14;12.79206944
20040127;15;14.29582787
20040127;16;10.08954239
20040127;17;8.284481049
20040127;18;5.996593952
20040127;19;4.603423595
20040127;20;4.316478729
20040127;21;3.416483164
20040127;22;3.07780242
20040127;23;2.921483755
20040127;24;2.790019989
20040128;1;2.704722404
20040128;2;2.417428017
20040128;3;2.368252993
20040128;4;2.391206503
20040128;5;2.371077061
20040128;6;2.286423922
20040128;7;2.367417574
20040128;8;2.181883812
20040128;9;2.02630949
20040128;10;2.007361412
20040128;11;1.98885262
20040128;12;1.949184299
20040128;13;1.990464568
20040128;14;1.878403306
20040128;15;1.921386838
20040128;16;1.873049974
20040128;17;1.870103002
20040128;18;1.778147817
20040128;19;1.783375978
20040128;20;1.795882702
20040128;21;1.752216339
20040128;22;1.733644128
20040128;23;1.724357843
20040128;24;1.716568589
20040129;1;1.713846564
20040129;2;1.71649909
20040129;3;1.699790001
20040129;4;1.695088387
20040129;5;1.691598535
20040129;6;1.6883955
20040129;7;1.685757518
